"Date","Price","Open","High","Low","Vol.","Change %"
"May 25, 2022","674.75","703.80","712.46","672.93","1.15M","-2.66%"
"May 24, 2022","693.20","738.00","738.05","693.20","4.48M","-6.48%"
"May 23, 2022","741.20","754.60","756.60","729.43","3.74M","0.57%"
"May 20, 2022","737.00","769.00","780.00","736.46","4.03M","-3.03%"
"May 19, 2022","760.00","758.20","762.60","729.36","4.69M","-2.36%"
"May 18, 2022","778.40","790.40","792.62","777.80","3.94M","-0.51%"
"May 17, 2022","782.40","786.00","792.60","778.65","14.42M","0.46%"
"May 16, 2022","778.80","795.00","802.50","772.63","2.99M","-3.35%"
"May 13, 2022","805.80","771.80","811.63","760.60","3.09M","7.33%"
"May 12, 2022","750.80","762.40","765.40","716.64","6.36M","-3.84%"
"May 11, 2022","780.80","797.00","800.76","769.40","5.04M","0.05%"
"May 10, 2022","780.40","795.80","809.38","780.40","3.98M","0.44%"
"May 09, 2022","777.00","817.20","819.80","777.00","6.98M","-6.66%"
"May 06, 2022","832.40","868.20","879.40","818.25","5.58M","-4.54%"
"May 05, 2022","872.00","909.80","921.17","868.40","3.09M","-1.02%"
"May 04, 2022","881.00","900.40","906.98","878.60","1.96M","-2.48%"
"May 03, 2022","903.40","902.20","918.00","896.00","3.01M","-1.16%"
"Apr 29, 2022","914.00","903.80","923.20","901.92","2.12M","3.14%"
"Apr 28, 2022","886.20","891.80","902.60","880.40","2.08M","0.80%"
"Apr 27, 2022","879.20","879.60","892.80","870.35","2.58M","0.39%"
"Apr 26, 2022","875.80","910.00","910.00","872.08","2.59M","-1.95%"
"Apr 25, 2022","893.20","891.80","902.00","871.74","3.54M","-1.63%"
"Apr 22, 2022","908.00","924.00","924.00","908.00","1.94M","-2.58%"
"Apr 21, 2022","932.00","929.00","950.58","926.80","3.17M","-0.30%"
"Apr 20, 2022","934.80","939.20","955.40","926.80","2.44M","-0.53%"
"Apr 19, 2022","939.80","958.20","958.20","923.00","3.50M","-1.69%"
"Apr 14, 2022","956.00","959.60","964.80","946.00","3.01M","-0.52%"
"Apr 13, 2022","961.00","946.40","961.00","933.00","2.04M","0.36%"
"Apr 12, 2022","957.60","941.20","964.89","936.68","2.50M","1.16%"
"Apr 11, 2022","946.60","955.00","965.30","939.64","3.52M","-2.71%"
"Apr 08, 2022","973.00","992.80","992.80","965.00","4.32M","0.19%"
"Apr 07, 2022","971.20","999.00","1,004.50","968.84","3.50M","-0.74%"
